id,name,artist_id,artist_name,playlist_name,playlist_id,added_at,duration_ms,release_date,explicit,popularity,preview_url,image_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4Z5FyQlevoHoa5FsIVKZju,PRACTICE,BAD INFLUENCES,4kQyEpwXsKAvr3dIhmvmof,4r63FhuTkUYltbVAg5TQnk,DaBaby,2020-11-29T23:08:24Z,122586,2020-08-04,True,79,https://p.scdn.co/mp3-preview/41417c4ae6c3fcb69a636332e3c669577631b83f?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273e818d05b79be19f4d49f1ebf,0.849,0.536,1,-7.307,1,0.349,0.0239,0,0.126,0.308,141.964,4
7hxHWCCAIIxFLCzvDgnQHX,"Lemonade (feat. Gunna, Don Toliver & NAV)",BAD INFLUENCES,4kQyEpwXsKAvr3dIhmvmof,6MPCFvOQv5cIGfw3jODMF0,Internet Money,2020-11-29T23:08:24Z,195428,2020-08-28,True,86,https://p.scdn.co/mp3-preview/f940980a94b5042faa490018cbd4725f3df29e48?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2739ca0c952f130e28025209cf0,0.8,0.658,1,-6.142,0,0.079,0.25,0,0.111,0.462,140.042,4
1t1xanSrCHq1nk6OgX7KUt,Werkz,BAD INFLUENCES,4kQyEpwXsKAvr3dIhmvmof,4FEEgHQNOgsIgifMSVcZJK,DSB Deem,2020-11-29T23:08:24Z,153730,2020-10-21,True,0,https://p.scdn.co/mp3-preview/41b60fbdeb6d987d0386a05c877c942ea630937c?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2732c50adff9b3cc6a32458bcdb,0.856,0.581,1,-10.28,0,0.144,0.518,0.00123,0.0969,0.802,114.042,4
2MBjMrecld1TgdzCSVouEW,Bryson,BAD INFLUENCES,4kQyEpwXsKAvr3dIhmvmof,0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,2020-11-29T23:08:24Z,221053,2020-11-01,True,61,https://p.scdn.co/mp3-preview/2159205713c51840b8083b39049416b5bfae7233?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b27315b8c6093289caeb7929599b,0.452,0.748,10,-7.858,0,0.302,0.022,0,0.0422,0.586,173.722,4
4Q34FP1AT7GEl9oLgNtiWj,Mr. Right Now (feat. Drake),BAD INFLUENCES,4kQyEpwXsKAvr3dIhmvmof,1URnnhqYAYcrqrcwql10ft,21 Savage,2020-11-29T23:08:24Z,193838,2020-10-02,True,80,https://p.scdn.co/mp3-preview/326f0913ac1d2852c806436f6d49deac449d7383?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273aa57907bf0cb2ca0c8cc74bc,0.647,0.667,5,-5.563,1,0.304,0.231,0,0.133,0.704,172.08,4
4FEsafrAjZPDo9N0RiiH1I,The Trail,The Sword of Destiny,4oV9r0j82svf2RtbBtTZBt,07vycW8ICLf5hKb22PFWXw,Marcin Przybyłowicz,2016-11-06T21:36:30Z,169784,2015-08-26,False,0,,https://i.scdn.co/image/ab67616d0000b2734216f8e82f353ad24877af5a,0.272,0.764,7,-9.025,0,0.058,0.0183,1.69e-05,0.0616,0.134,160.092,3
0Pfdg72l2kQsh4sQHMRSbv,Geralt Of Rivia,The Sword of Destiny,4oV9r0j82svf2RtbBtTZBt,07vycW8ICLf5hKb22PFWXw,Marcin Przybyłowicz,2016-11-06T21:36:30Z,141993,2015-08-26,False,0,,https://i.scdn.co/image/ab67616d0000b2734216f8e82f353ad24877af5a,0.267,0.535,4,-13.332,0,0.0505,0.535,0.948,0.112,0.0424,85.015,4
5sk65hgLJyKnwTTGDzhhsE,"Eredin, King Of The Hunt",The Sword of Destiny,4oV9r0j82svf2RtbBtTZBt,07vycW8ICLf5hKb22PFWXw,Marcin Przybyłowicz,2016-11-06T21:36:30Z,147455,2015-08-26,False,0,,https://i.scdn.co/image/ab67616d0000b2734216f8e82f353ad24877af5a,0.0661,0.341,10,-13.006,1,0.0381,0.782,0.836,0.367,0.0789,64.522,4
6Agc6F2std10P7rwKOwhrg,"Wake Up, Ciri",The Sword of Destiny,4oV9r0j82svf2RtbBtTZBt,6lGCmXtqSxze8o2KEfYD6D,Mikolai Stroinski,2016-11-06T21:36:30Z,94200,2015-08-26,False,0,,https://i.scdn.co/image/ab67616d0000b2734216f8e82f353ad24877af5a,0.164,0.244,2,-12.804,0,0.0337,0.895,0.327,0.296,0.0342,87.235,3
6QBKQfbCmCJlcCVCFCsVdt,Aen Seidhe,The Sword of Destiny,4oV9r0j82svf2RtbBtTZBt,6lGCmXtqSxze8o2KEfYD6D,Mikolai Stroinski,2016-11-06T21:36:30Z,156003,2015-08-26,False,0,,https://i.scdn.co/image/ab67616d0000b2734216f8e82f353ad24877af5a,0.472,0.411,2,-12.595,1,0.0249,0.209,0.63,0.112,0.183,100.124,4
