id,name,album_id,album_name,artist_id,artist_name,added_at,duration_ms,release_date,explicit,popularity,preview_url,image_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4xv09hAMpmFUfQNsrwFrJv,I'm a Cat Guy,2f3P7AhWSQcvD6atDatd6i,The Prodigal Little Bitch,5AOvnxy5ScXXJyDVC2MckG,Geoffrey Asmus,2021-02-11T21:21:50Z,269625,2021-01-22,True,21,https://p.scdn.co/mp3-preview/9281c3ab19bdda5c3089df3dc153ed3211986d09?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273800a5cbda5b121273574859f,0.58,0.514,10,-12.897,1,0.947,0.779,0,0.623,0.678,79.128,4
4M1iVzz4FxlSgJlQpA2hN7,I'm Pro-Life and Pro-Choice,2f3P7AhWSQcvD6atDatd6i,The Prodigal Little Bitch,5AOvnxy5ScXXJyDVC2MckG,Geoffrey Asmus,2021-02-11T21:21:50Z,215849,2021-01-22,True,21,https://p.scdn.co/mp3-preview/fa1ecd4cd2271da4d70ee352352157510b23eb65?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273800a5cbda5b121273574859f,0.608,0.575,2,-12.359,0,0.904,0.771,0,0.675,0.673,129.123,4
4lwbeh2AJgd2v07bnvsMT1,I Hate My Body and Yours,2f3P7AhWSQcvD6atDatd6i,The Prodigal Little Bitch,5AOvnxy5ScXXJyDVC2MckG,Geoffrey Asmus,2021-02-11T21:21:50Z,266664,2021-01-22,True,21,https://p.scdn.co/mp3-preview/6e590041cfd6cb2c179ffa4b9b6b1c29df03d798?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273800a5cbda5b121273574859f,0.585,0.614,3,-12.71,0,0.922,0.742,0,0.915,0.727,102.056,4
5GASVeLdbe6QYJjl9aS4c5,I Love Jesus,2f3P7AhWSQcvD6atDatd6i,The Prodigal Little Bitch,5AOvnxy5ScXXJyDVC2MckG,Geoffrey Asmus,2021-02-11T21:21:50Z,206635,2021-01-22,True,21,https://p.scdn.co/mp3-preview/17f66369fb00c5b62bb2f3a0a68a6fd33776c0da?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273800a5cbda5b121273574859f,0.56,0.6,2,-12.632,1,0.947,0.778,0,0.961,0.696,90.593,3
2Az3tPorZiM1kosFwtDRNu,I Hate Lutherans,2f3P7AhWSQcvD6atDatd6i,The Prodigal Little Bitch,5AOvnxy5ScXXJyDVC2MckG,Geoffrey Asmus,2021-02-11T21:21:50Z,186107,2021-01-22,True,21,https://p.scdn.co/mp3-preview/81c22d259c583f68dd9e488e058e859a9ef02cea?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273800a5cbda5b121273574859f,0.626,0.605,10,-12.038,1,0.894,0.78,0,0.629,0.606,111.225,3
1NygTlwZATG5zjKYQ1PVt1,"I Believe in God and You Should Too, Idiot",2f3P7AhWSQcvD6atDatd6i,The Prodigal Little Bitch,5AOvnxy5ScXXJyDVC2MckG,Geoffrey Asmus,2021-02-11T21:21:50Z,243298,2021-01-22,True,21,https://p.scdn.co/mp3-preview/566aea69a01d5d1504fad3f38d2d5648cea1f728?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273800a5cbda5b121273574859f,0.557,0.562,5,-12.34,1,0.934,0.742,0,0.689,0.648,83.707,3
5WKhKEH0wrtTvQZsrtkWaL,The Best Bible Verse,2f3P7AhWSQcvD6atDatd6i,The Prodigal Little Bitch,5AOvnxy5ScXXJyDVC2MckG,Geoffrey Asmus,2021-02-11T21:21:50Z,242490,2021-01-22,True,21,https://p.scdn.co/mp3-preview/39b2badc60741fb258bf1be267732c5f93388912?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b273800a5cbda5b121273574859f,0.567,0.524,2,-13.057,1,0.944,0.692,0,0.713,0.602,82.409,4
1hEhhMJWVB1gS8zVUh5BKT,Life Will Change,59EGCpcr4n9pxSNr2vhYeO,Metagroove,5PTaHqgfY54BzqeWfSvAGE,J-Music Ensemble,2021-02-04T19:51:12Z,319740,2020-09-28,False,38,https://p.scdn.co/mp3-preview/b5b039854b3865dc0dd01b28eb8beacc64bb9814?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2736732231202fc1dcca611e319,0.539,0.655,6,-10.019,1,0.0668,0.00483,0.758,0.132,0.507,134.809,4
1LEL4HnN74BdmdmwFjpd5h,"Wake Up, Get Up, Get out There",59EGCpcr4n9pxSNr2vhYeO,Metagroove,5PTaHqgfY54BzqeWfSvAGE,J-Music Ensemble,2021-02-04T19:51:12Z,284390,2020-09-28,False,38,https://p.scdn.co/mp3-preview/8b3418e6f50af455b3b0705a8e11ef8bedf6c3ec?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2736732231202fc1dcca611e319,0.757,0.576,8,-11.697,1,0.0892,0.417,0.00011,0.139,0.689,129.894,4
6CsF8lgy6Hask7CjZzSUUD,Last Surprise,59EGCpcr4n9pxSNr2vhYeO,Metagroove,5PTaHqgfY54BzqeWfSvAGE,J-Music Ensemble,2021-02-04T19:51:12Z,265407,2020-09-28,False,38,https://p.scdn.co/mp3-preview/38a4c2323753f108abf89b0790eab0208c2fdb77?cid=80f9c45f58044ac7af45e808e2d7b928,https://i.scdn.co/image/ab67616d0000b2736732231202fc1dcca611e319,0.678,0.554,7,-10.247,0,0.0952,0.72,0,0.257,0.6,126.018,4
